time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
2019 to 20,West Midlands,A level,Geography,Geography (World Development),0.0,,,,,,
2019 to 20,West Midlands,A level,Science - other,Electronics,23.0,8.69565,34.78261,60.86957,78.26087,82.6087,100.0
2019 to 20,West Midlands,A level,Physical Education,Total Physical Education,901.0,9.54495,27.85794,56.93674,84.12875,96.00444,99.88901
2019 to 20,West Midlands,A level,Music,Total Music,297.0,12.45791,37.37374,69.02357,88.55219,97.6431,100.0
2019 to 20,West Midlands,A level,English,English language & literature,870.0,5.51724,21.83908,57.70115,87.70115,99.1954,99.88506
2019 to 20,West Midlands,A level,Psychology,Total Psychology,6402.0,7.62262,26.30428,53.35833,81.02156,95.29834,99.54702
2019 to 20,West Midlands,A level,Modern languages - other,Irish,0.0,,,,,,
2019 to 20,West Midlands,A level,English,English language,1221.0,5.48731,21.45782,53.72645,86.89599,98.0344,99.3448
2019 to 20,West Midlands,A level,History,Total History,3666.0,8.0742,28.47791,59.13803,86.66121,97.51773,99.83633
2019 to 20,West Midlands,A level,All facilitating subjects,Total facilitating subjects,32920.0,12.96173,35.38882,60.90219,83.87606,95.33414,99.46841
2019 to 20,West Midlands,A level,ICT,Total ICT,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Welsh (Second Language),0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Total Other Modern Languages,284.0,30.98592,69.71831,89.43662,96.83099,97.1831,97.1831
2019 to 20,West Midlands,A level,Science - other,Total Other Sciences,257.0,7.7821,26.07004,49.80545,76.26459,92.99611,99.61089
2019 to 20,West Midlands,A level,Modern languages - other,Punjabi,33.0,21.21212,57.57576,78.78788,96.9697,96.9697,96.9697
2019 to 20,West Midlands,A level,Classical studies,Total Classical studies,264.0,9.84848,31.81818,59.84848,88.63636,97.34848,100.0
2019 to 20,West Midlands,A level,Art & Design,History of Art,17.0,11.76471,35.29412,52.94118,82.35294,94.11765,100.0
2019 to 20,West Midlands,A level,English,English literature,3445.0,10.44993,30.15965,59.30334,87.72134,98.3164,99.82583
2019 to 20,West Midlands,A level,Modern languages,Total Modern languages including Other,1357.0,19.60206,52.02653,76.56595,92.33604,97.78924,99.1157
2019 to 20,West Midlands,A level,Modern languages - other,Dutch,0.0,,,,,,
2019 to 20,East Midlands,A level,Art & Design,Critical Studies,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Arabic,10.0,0.0,80.0,90.0,90.0,100.0,100.0
2019 to 20,East Midlands,A level,Religious Studies,Total Religious Studies,865.0,10.40462,31.21387,60.34682,84.85549,96.53179,99.53757
2019 to 20,East Midlands,A level,Design and technology,D&T Food Technology,0.0,,,,,,
2019 to 20,East Midlands,A level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Polish,58.0,27.58621,58.62069,75.86207,81.03448,82.75862,82.75862
2019 to 20,East Midlands,A level,Science - other,Environmental Science,36.0,8.33333,22.22222,52.77778,69.44444,91.66667,100.0
2019 to 20,East Midlands,A level,Modern languages - other,Modern Greek,5.0,20.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,East Midlands,A level,Accounting and Finance,Total Accounting and finance,257.0,4.28016,19.06615,41.24514,71.20623,91.05058,98.83268
2019 to 20,East Midlands,A level,Archaeology,Total Archaeology,0.0,,,,,,
2019 to 20,East Midlands,A level,Arts,Expressive Arts & Performance Studies,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Russian,11.0,27.27273,63.63636,100.0,100.0,100.0,100.0
2019 to 20,East Midlands,A level,Classical studies,Latin,9.0,22.22222,55.55556,88.88889,88.88889,88.88889,100.0
2019 to 20,East Midlands,A level,Design and technology,D&T Product Design,675.0,7.11111,27.25926,58.22222,86.66667,96.88889,99.7037
2019 to 20,East Midlands,A level,Maths,Additional Mathematics,0.0,,,,,,
2019 to 20,East Midlands,A level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,East Midlands,A level,Modern languages - other,Turkish,4.0,25.0,75.0,75.0,100.0,100.0,100.0
2019 to 20,East Midlands,A level,Modern languages - other,Modern Hebrew,0.0,,,,,,
2019 to 20,East Midlands,A level,Science - Biology,Total Biology,4160.0,10.19231,32.30769,55.81731,80.0,93.91827,99.35096
2019 to 20,East Midlands,A level,Art & Design,Art and design,265.0,12.83019,34.33962,68.67925,87.16981,96.60377,99.24528
2019 to 20,East Midlands,A level,Arts,Film Studies,284.0,4.57746,24.29577,61.26761,89.78873,96.83099,99.64789
