time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,region_code,region_name,old_la_code,new_la_code,la_name,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,938,E10000032,West Sussex,A level,Level 3,3148,3130,2882,2827,2728,91.55,89.803,87.157
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000005,West Midlands,885,E10000034,Worcestershire,A level,Level 3,1876,1853,1736,1711,1625,92.537,91.205,87.696
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,821,E06000032,Luton,A level,Level 3,1073,1071,969,968,964,90.308,90.214,90.009
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,882,E06000033,Southend-on-Sea,A level,Level 3,1256,1249,1174,1159,1142,93.471,92.277,91.433
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,883,E06000034,Thurrock,A level,Level 3,228,228,204,199,199,89.474,87.281,87.281
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,887,E06000035,Medway,A level,Level 3,1079,1078,1021,998,995,94.625,92.493,92.301
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,867,E06000036,Bracknell Forest,A level,Level 3,335,334,318,307,299,94.925,91.642,89.521
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,869,E06000037,West Berkshire,A level,Level 3,940,938,897,878,863,95.426,93.404,92.004
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,870,E06000038,Reading,A level,Level 3,532,531,509,503,504,95.677,94.549,94.915
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,871,E06000039,Slough,A level,Level 3,1436,1436,1326,1321,1317,92.34,91.992,91.713
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,868,E06000040,Windsor and Maidenhead,A level,Level 3,765,759,746,725,723,97.516,94.771,95.257
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,872,E06000041,Wokingham,A level,Level 3,811,807,788,780,771,97.164,96.178,95.539
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,826,E06000042,Milton Keynes,A level,Level 3,1108,1067,1048,1025,972,94.585,92.509,91.097
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,846,E06000043,Brighton and Hove,A level,Level 3,2218,2199,1996,1954,1929,89.991,88.097,87.722
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,851,E06000044,Portsmouth,A level,Level 3,494,485,439,438,416,88.866,88.664,85.773
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,852,E06000045,Southampton,A level,Level 3,450,444,334,332,317,74.222,73.778,71.396
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,921,E06000046,Isle of Wight,A level,Level 3,421,414,394,357,345,93.587,84.798,83.333
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,201,E09000001,City of London,A level,Level 3,0,0,z,z,z,z,z,z
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,301,E09000002,Barking and Dagenham,A level,Level 3,823,822,744,717,716,90.401,87.12,87.105
