time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci 
2021 to 22,North East,Male,Further Maths & Biology & Computer Science,3,0,0.0
2021 to 22,South East,Male,Further Maths & Biology & Computer Science,3,1,0.005
2021 to 22,East Midlands,Male,Further Maths & Biology & Computer Science,3,0,0.0
2021 to 22,South West,Male,Further Maths & Biology & Computer Science,3,0,0.0
2021 to 22,London,Male,Maths & Biology,2,342,1.726
2021 to 22,North West,Male,Maths & Biology,2,168,1.242
2021 to 22,West Midlands,Male,Maths & Biology,2,183,1.655
2021 to 22,East of England,Male,Maths & Biology,2,209,1.581
2021 to 22,Yorkshire and The Humber,Male,Maths & Biology,2,124,1.32
2021 to 22,North East,Male,Maths & Biology,2,44,1.085
2021 to 22,South East,Male,Maths & Biology,2,349,1.654
2021 to 22,East Midlands,Male,Maths & Biology,2,140,1.654
2021 to 22,South West,Male,Maths & Biology,2,148,1.515
2021 to 22,London,All,Maths & Chemistry,2,797,1.79
2021 to 22,North West,All,Maths & Chemistry,2,374,1.192
2021 to 22,West Midlands,All,Maths & Chemistry,2,324,1.275
2021 to 22,East of England,All,Maths & Chemistry,2,309,1.047
2021 to 22,Yorkshire and The Humber,All,Maths & Chemistry,2,245,1.127
2021 to 22,North East,All,Maths & Chemistry,2,101,1.06
2021 to 22,South East,All,Maths & Chemistry,2,534,1.162
2021 to 22,East Midlands,All,Maths & Chemistry,2,231,1.21
2021 to 22,South West,All,Maths & Chemistry,2,238,1.081
2021 to 22,London,Female,Further Maths & Biology & Physics,3,1,0.004
2021 to 22,North West,Female,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,West Midlands,Female,Further Maths & Biology & Physics,3,1,0.007
2021 to 22,East of England,Female,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Further Maths & Biology & Physics,3,1,0.008
2021 to 22,North East,Female,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,South East,Female,Further Maths & Biology & Physics,3,1,0.004
2021 to 22,East Midlands,Female,Further Maths & Biology & Physics,3,2,0.019
2021 to 22,South West,Female,Further Maths & Biology & Physics,3,1,0.008
2021 to 22,London,Female,Maths & Biology,2,396,1.603
2021 to 22,North West,Female,Maths & Biology,2,258,1.446
2021 to 22,West Midlands,Female,Maths & Biology,2,253,1.763
2021 to 22,East of England,Female,Maths & Biology,2,275,1.688
2021 to 22,Yorkshire and The Humber,Female,Maths & Biology,2,214,1.734
2021 to 22,North East,Female,Maths & Biology,2,88,1.609
2021 to 22,South East,Female,Maths & Biology,2,451,1.813
2021 to 22,East Midlands,Female,Maths & Biology,2,192,1.807
2021 to 22,South West,Female,Maths & Biology,2,199,1.626
2021 to 22,London,All,Maths,1,4164,9.354
2021 to 22,North West,All,Maths,1,2151,6.855
2021 to 22,West Midlands,All,Maths,1,1705,6.71
2021 to 22,East of England,All,Maths,1,2175,7.37
2021 to 22,Yorkshire and The Humber,All,Maths,1,1473,6.776
2021 to 22,North East,All,Maths,1,544,5.712
2021 to 22,South East,All,Maths,1,3395,7.385
2021 to 22,East Midlands,All,Maths,1,1171,6.133
2021 to 22,South West,All,Maths,1,1315,5.975
2021 to 22,London,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,North West,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,East of England,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,North East,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,South East,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,South West,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,London,All,Further Maths & Physics,2,57,0.128
2021 to 22,North West,All,Further Maths & Physics,2,23,0.073
2021 to 22,West Midlands,All,Further Maths & Physics,2,22,0.087
2021 to 22,East of England,All,Further Maths & Physics,2,25,0.085
2021 to 22,Yorkshire and The Humber,All,Further Maths & Physics,2,16,0.074
2021 to 22,North East,All,Further Maths & Physics,2,2,0.021
2021 to 22,South East,All,Further Maths & Physics,2,59,0.128
2021 to 22,East Midlands,All,Further Maths & Physics,2,10,0.052
2021 to 22,South West,All,Further Maths & Physics,2,29,0.132
2021 to 22,London,Male,Further Maths & Chemistry & Physics,3,41,0.207
2021 to 22,North West,Male,Further Maths & Chemistry & Physics,3,8,0.059
2021 to 22,West Midlands,Male,Further Maths & Chemistry & Physics,3,14,0.127
2021 to 22,East of England,Male,Further Maths & Chemistry & Physics,3,11,0.083
2021 to 22,Yorkshire and The Humber,Male,Further Maths & Chemistry & Physics,3,11,0.117
2021 to 22,North East,Male,Further Maths & Chemistry & Physics,3,1,0.025
2021 to 22,South East,Male,Further Maths & Chemistry & Physics,3,31,0.147
2021 to 22,East Midlands,Male,Further Maths & Chemistry & Physics,3,16,0.189
2021 to 22,South West,Male,Further Maths & Chemistry & Physics,3,9,0.092
2021 to 22,London,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,North West,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,East of England,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,North East,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,South East,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,South West,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2021 to 22,London,Male,Biology & Physics & Computer Science,3,5,0.025
2021 to 22,North West,Male,Biology & Physics & Computer Science,3,4,0.03
2021 to 22,West Midlands,Male,Biology & Physics & Computer Science,3,1,0.009
2021 to 22,East of England,Male,Biology & Physics & Computer Science,3,7,0.053
2021 to 22,Yorkshire and The Humber,Male,Biology & Physics & Computer Science,3,1,0.011
2021 to 22,North East,Male,Biology & Physics & Computer Science,3,0,0.0
2021 to 22,South East,Male,Biology & Physics & Computer Science,3,5,0.024
2021 to 22,East Midlands,Male,Biology & Physics & Computer Science,3,4,0.047
2021 to 22,South West,Male,Biology & Physics & Computer Science,3,7,0.072
2021 to 22,London,Female,Further Maths & Chemistry & Physics,3,7,0.028
2021 to 22,North West,Female,Further Maths & Chemistry & Physics,3,6,0.034
2021 to 22,West Midlands,Female,Further Maths & Chemistry & Physics,3,5,0.035
2021 to 22,East of England,Female,Further Maths & Chemistry & Physics,3,6,0.037
2021 to 22,Yorkshire and The Humber,Female,Further Maths & Chemistry & Physics,3,3,0.024
2021 to 22,North East,Female,Further Maths & Chemistry & Physics,3,0,0.0
2021 to 22,South East,Female,Further Maths & Chemistry & Physics,3,10,0.04
2021 to 22,East Midlands,Female,Further Maths & Chemistry & Physics,3,4,0.038
2021 to 22,South West,Female,Further Maths & Chemistry & Physics,3,2,0.016
2021 to 22,London,Female,Maths & Computer Science,2,140,0.567
2021 to 22,North West,Female,Maths & Computer Science,2,69,0.387
2021 to 22,West Midlands,Female,Maths & Computer Science,2,54,0.376
2021 to 22,East of England,Female,Maths & Computer Science,2,49,0.301
2021 to 22,Yorkshire and The Humber,Female,Maths & Computer Science,2,38,0.308
2021 to 22,North East,Female,Maths & Computer Science,2,16,0.293
2021 to 22,South East,Female,Maths & Computer Science,2,111,0.446
2021 to 22,East Midlands,Female,Maths & Computer Science,2,20,0.188
2021 to 22,South West,Female,Maths & Computer Science,2,26,0.212
2021 to 22,London,Male,Further Maths & Biology & Physics,3,1,0.005
2021 to 22,North West,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,West Midlands,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,East of England,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,North East,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,South East,Male,Further Maths & Biology & Physics,3,6,0.028
2021 to 22,East Midlands,Male,Further Maths & Biology & Physics,3,1,0.012
2021 to 22,South West,Male,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,London,All,Physics & Computer Science,2,52,0.117
2021 to 22,North West,All,Physics & Computer Science,2,38,0.121
2021 to 22,West Midlands,All,Physics & Computer Science,2,47,0.185
2021 to 22,East of England,All,Physics & Computer Science,2,63,0.213
2021 to 22,Yorkshire and The Humber,All,Physics & Computer Science,2,22,0.101
2021 to 22,North East,All,Physics & Computer Science,2,12,0.126
2021 to 22,South East,All,Physics & Computer Science,2,69,0.15
2021 to 22,East Midlands,All,Physics & Computer Science,2,36,0.189
2021 to 22,South West,All,Physics & Computer Science,2,40,0.182
2021 to 22,London,Female,Further Maths,1,6,0.024
2021 to 22,North West,Female,Further Maths,1,4,0.022
2021 to 22,West Midlands,Female,Further Maths,1,5,0.035
2021 to 22,East of England,Female,Further Maths,1,5,0.031
2021 to 22,Yorkshire and The Humber,Female,Further Maths,1,3,0.024
2021 to 22,North East,Female,Further Maths,1,0,0.0
2021 to 22,South East,Female,Further Maths,1,8,0.032
2021 to 22,East Midlands,Female,Further Maths,1,1,0.009
2021 to 22,South West,Female,Further Maths,1,4,0.033
2021 to 22,London,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,Male,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North West,Male,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,West Midlands,Male,Further Maths & Chemistry & Computer Science,3,4,0.036
2021 to 22,East of England,Male,Further Maths & Chemistry & Computer Science,3,1,0.008
2021 to 22,Yorkshire and The Humber,Male,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North East,Male,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,South East,Male,Further Maths & Chemistry & Computer Science,3,2,0.009
2021 to 22,East Midlands,Male,Further Maths & Chemistry & Computer Science,3,1,0.012
2021 to 22,South West,Male,Further Maths & Chemistry & Computer Science,3,2,0.02
2021 to 22,London,All,Further Maths & Chemistry & Physics,3,48,0.108
2021 to 22,North West,All,Further Maths & Chemistry & Physics,3,14,0.045
2021 to 22,West Midlands,All,Further Maths & Chemistry & Physics,3,19,0.075
2021 to 22,East of England,All,Further Maths & Chemistry & Physics,3,17,0.058
2021 to 22,Yorkshire and The Humber,All,Further Maths & Chemistry & Physics,3,14,0.064
2021 to 22,North East,All,Further Maths & Chemistry & Physics,3,1,0.01
2021 to 22,South East,All,Further Maths & Chemistry & Physics,3,41,0.089
2021 to 22,East Midlands,All,Further Maths & Chemistry & Physics,3,20,0.105
2021 to 22,South West,All,Further Maths & Chemistry & Physics,3,11,0.05
2021 to 22,London,All,Maths & Computer Science,2,712,1.599
2021 to 22,North West,All,Maths & Computer Science,2,390,1.243
2021 to 22,West Midlands,All,Maths & Computer Science,2,350,1.377
2021 to 22,East of England,All,Maths & Computer Science,2,314,1.064
2021 to 22,Yorkshire and The Humber,All,Maths & Computer Science,2,247,1.136
2021 to 22,North East,All,Maths & Computer Science,2,85,0.892
2021 to 22,South East,All,Maths & Computer Science,2,588,1.279
2021 to 22,East Midlands,All,Maths & Computer Science,2,219,1.147
2021 to 22,South West,All,Maths & Computer Science,2,215,0.977
2021 to 22,London,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North West,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,West Midlands,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,East of England,Female,Further Maths & Chemistry & Computer Science,3,1,0.006
2021 to 22,Yorkshire and The Humber,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North East,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,South East,Female,Further Maths & Chemistry & Computer Science,3,1,0.004
2021 to 22,East Midlands,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,South West,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,London,All,Biology & Chemistry & Computer Science,3,31,0.07
2021 to 22,North West,All,Biology & Chemistry & Computer Science,3,34,0.108
2021 to 22,West Midlands,All,Biology & Chemistry & Computer Science,3,30,0.118
2021 to 22,East of England,All,Biology & Chemistry & Computer Science,3,24,0.081
2021 to 22,Yorkshire and The Humber,All,Biology & Chemistry & Computer Science,3,13,0.06
2021 to 22,North East,All,Biology & Chemistry & Computer Science,3,11,0.115
2021 to 22,South East,All,Biology & Chemistry & Computer Science,3,40,0.087
2021 to 22,East Midlands,All,Biology & Chemistry & Computer Science,3,21,0.11
2021 to 22,South West,All,Biology & Chemistry & Computer Science,3,16,0.073
2021 to 22,London,Male,Maths & Computer Science,2,572,2.887
2021 to 22,North West,Male,Maths & Computer Science,2,321,2.372
2021 to 22,West Midlands,Male,Maths & Computer Science,2,296,2.677
2021 to 22,East of England,Male,Maths & Computer Science,2,265,2.005
2021 to 22,Yorkshire and The Humber,Male,Maths & Computer Science,2,209,2.224
2021 to 22,North East,Male,Maths & Computer Science,2,69,1.702
2021 to 22,South East,Male,Maths & Computer Science,2,477,2.261
2021 to 22,East Midlands,Male,Maths & Computer Science,2,199,2.351
2021 to 22,South West,Male,Maths & Computer Science,2,189,1.934
2021 to 22,London,All,Further Maths & Biology & Physics,3,2,0.004
2021 to 22,North West,All,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,West Midlands,All,Further Maths & Biology & Physics,3,1,0.004
2021 to 22,East of England,All,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,Yorkshire and The Humber,All,Further Maths & Biology & Physics,3,1,0.005
2021 to 22,North East,All,Further Maths & Biology & Physics,3,0,0.0
2021 to 22,South East,All,Further Maths & Biology & Physics,3,7,0.015
2021 to 22,East Midlands,All,Further Maths & Biology & Physics,3,3,0.016
2021 to 22,South West,All,Further Maths & Biology & Physics,3,1,0.005
2021 to 22,London,Male,Biology & Chemistry & Computer Science,3,24,0.121
2021 to 22,North West,Male,Biology & Chemistry & Computer Science,3,25,0.185
2021 to 22,West Midlands,Male,Biology & Chemistry & Computer Science,3,18,0.163
2021 to 22,East of England,Male,Biology & Chemistry & Computer Science,3,22,0.166
2021 to 22,Yorkshire and The Humber,Male,Biology & Chemistry & Computer Science,3,11,0.117
2021 to 22,North East,Male,Biology & Chemistry & Computer Science,3,9,0.222
2021 to 22,South East,Male,Biology & Chemistry & Computer Science,3,28,0.133
2021 to 22,East Midlands,Male,Biology & Chemistry & Computer Science,3,11,0.13
2021 to 22,South West,Male,Biology & Chemistry & Computer Science,3,14,0.143
2021 to 22,London,Male,Further Maths,1,14,0.071
2021 to 22,North West,Male,Further Maths,1,3,0.022
2021 to 22,West Midlands,Male,Further Maths,1,6,0.054
2021 to 22,East of England,Male,Further Maths,1,14,0.106
2021 to 22,Yorkshire and The Humber,Male,Further Maths,1,7,0.074
2021 to 22,North East,Male,Further Maths,1,0,0.0
2021 to 22,South East,Male,Further Maths,1,24,0.114
2021 to 22,East Midlands,Male,Further Maths,1,9,0.106
2021 to 22,South West,Male,Further Maths,1,8,0.082
2021 to 22,London,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,Male,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North West,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,West Midlands,All,Further Maths & Chemistry & Computer Science,3,4,0.016
2021 to 22,East of England,All,Further Maths & Chemistry & Computer Science,3,2,0.007
2021 to 22,Yorkshire and The Humber,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,North East,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2021 to 22,South East,All,Further Maths & Chemistry & Computer Science,3,3,0.007
2021 to 22,East Midlands,All,Further Maths & Chemistry & Computer Science,3,1,0.005
2021 to 22,South West,All,Further Maths & Chemistry & Computer Science,3,2,0.009
2021 to 22,London,Female,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,North West,Female,Further Maths & Physics & Computer Science,3,7,0.039
2021 to 22,West Midlands,Female,Further Maths & Physics & Computer Science,3,5,0.035
2021 to 22,East of England,Female,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,North East,Female,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,South East,Female,Further Maths & Physics & Computer Science,3,5,0.02
2021 to 22,East Midlands,Female,Further Maths & Physics & Computer Science,3,6,0.056
2021 to 22,South West,Female,Further Maths & Physics & Computer Science,3,2,0.016
2021 to 22,London,Female,Maths & Further Maths,2,176,0.712
2021 to 22,North West,Female,Maths & Further Maths,2,72,0.403
2021 to 22,West Midlands,Female,Maths & Further Maths,2,45,0.314
2021 to 22,East of England,Female,Maths & Further Maths,2,72,0.442
2021 to 22,Yorkshire and The Humber,Female,Maths & Further Maths,2,54,0.437
2021 to 22,North East,Female,Maths & Further Maths,2,25,0.457
2021 to 22,South East,Female,Maths & Further Maths,2,100,0.402
2021 to 22,East Midlands,Female,Maths & Further Maths,2,31,0.292
2021 to 22,South West,Female,Maths & Further Maths,2,57,0.466
2021 to 22,London,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,Female,Biology & Chemistry & Physics,3,85,0.344
2021 to 22,North West,Female,Biology & Chemistry & Physics,3,64,0.359
2021 to 22,West Midlands,Female,Biology & Chemistry & Physics,3,79,0.55
2021 to 22,East of England,Female,Biology & Chemistry & Physics,3,69,0.423
2021 to 22,Yorkshire and The Humber,Female,Biology & Chemistry & Physics,3,53,0.429
2021 to 22,North East,Female,Biology & Chemistry & Physics,3,15,0.274
2021 to 22,South East,Female,Biology & Chemistry & Physics,3,64,0.257
2021 to 22,East Midlands,Female,Biology & Chemistry & Physics,3,59,0.555
2021 to 22,South West,Female,Biology & Chemistry & Physics,3,37,0.302
2021 to 22,London,Female,Biology,1,1682,6.808
2021 to 22,North West,Female,Biology,1,1465,8.208
2021 to 22,West Midlands,Female,Biology,1,1383,9.637
2021 to 22,East of England,Female,Biology,1,1466,8.997
2021 to 22,Yorkshire and The Humber,Female,Biology,1,1080,8.75
2021 to 22,North East,Female,Biology,1,465,8.502
2021 to 22,South East,Female,Biology,1,2323,9.341
2021 to 22,East Midlands,Female,Biology,1,1222,11.499
2021 to 22,South West,Female,Biology,1,1375,11.236
2021 to 22,London,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North West,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,East of England,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North East,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South East,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,1,0.005
2021 to 22,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South West,Male,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,London,All,Further Maths,1,20,0.045
2021 to 22,North West,All,Further Maths,1,7,0.022
2021 to 22,West Midlands,All,Further Maths,1,11,0.043
2021 to 22,East of England,All,Further Maths,1,19,0.064
2021 to 22,Yorkshire and The Humber,All,Further Maths,1,10,0.046
2021 to 22,North East,All,Further Maths,1,0,0.0
2021 to 22,South East,All,Further Maths,1,32,0.07
2021 to 22,East Midlands,All,Further Maths,1,10,0.052
2021 to 22,South West,All,Further Maths,1,12,0.055
2021 to 22,London,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,All,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North West,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,West Midlands,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,East of England,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North East,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South East,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,East Midlands,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South West,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,London,Male,Further Maths & Physics & Computer Science,3,15,0.076
2021 to 22,North West,Male,Further Maths & Physics & Computer Science,3,10,0.074
2021 to 22,West Midlands,Male,Further Maths & Physics & Computer Science,3,16,0.145
2021 to 22,East of England,Male,Further Maths & Physics & Computer Science,3,25,0.189
2021 to 22,Yorkshire and The Humber,Male,Further Maths & Physics & Computer Science,3,8,0.085
2021 to 22,North East,Male,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,South East,Male,Further Maths & Physics & Computer Science,3,39,0.185
2021 to 22,East Midlands,Male,Further Maths & Physics & Computer Science,3,21,0.248
2021 to 22,South West,Male,Further Maths & Physics & Computer Science,3,11,0.113
2021 to 22,London,Male,Maths & Further Maths,2,322,1.625
2021 to 22,North West,Male,Maths & Further Maths,2,80,0.591
2021 to 22,West Midlands,Male,Maths & Further Maths,2,70,0.633
2021 to 22,East of England,Male,Maths & Further Maths,2,163,1.233
2021 to 22,Yorkshire and The Humber,Male,Maths & Further Maths,2,66,0.702
2021 to 22,North East,Male,Maths & Further Maths,2,24,0.592
2021 to 22,South East,Male,Maths & Further Maths,2,164,0.777
2021 to 22,East Midlands,Male,Maths & Further Maths,2,62,0.732
2021 to 22,South West,Male,Maths & Further Maths,2,61,0.624
2021 to 22,London,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North West,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,North East,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South East,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,South West,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2021 to 22,London,Male,Biology & Chemistry & Physics,3,99,0.5
2021 to 22,North West,Male,Biology & Chemistry & Physics,3,60,0.443
2021 to 22,West Midlands,Male,Biology & Chemistry & Physics,3,87,0.787
