time_period,region_name,characteristic_type,characteristic_value,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2020 to 21,South West,Disadvantage,Disadvantaged,1908,6509,13.864,81.813,B-,29.313
2020 to 21,East of England,Disadvantage,Disadvantaged,2844,8976,15.15,81.329,B-,31.684
2020 to 21,East Midlands,Disadvantage,Disadvantaged,2145,6232,13.965,83.543,B-,34.419
2020 to 21,London,Disadvantage,Disadvantaged,10663,22109,18.241,86.917,B-,48.229
2021 to 22,Yorkshire and The Humber,Disadvantage,Disadvantaged,3006,14070,8.946,75.516,C+,21.365
2021 to 22,London,Disadvantage,Disadvantaged,10781,26325,12.947,86.532,C+,40.953
2021 to 22,East Midlands,Disadvantage,Disadvantaged,2195,8405,9.14,82.415,C+,26.115
2021 to 22,North East,Disadvantage,Disadvantaged,1412,8325,9.339,77.833,C+,16.961
2021 to 22,West Midlands,Disadvantage,Disadvantaged,4260,16559,11.157,80.657,C+,25.726
2021 to 22,North West,Disadvantage,Disadvantaged,4548,19620,11.131,79.683,C+,23.18
2021 to 22,South West,Disadvantage,Disadvantaged,2120,9677,10.16,82.547,C+,21.908
2021 to 22,South East,Disadvantage,Disadvantaged,4123,15764,10.453,77.08,C+,26.155
2021 to 22,East of England,Disadvantage,Disadvantaged,3146,12609,10.142,79.784,C+,24.95
2022 to 23,Yorkshire and The Humber,Disadvantage,Disadvantaged,3178,14241,6.176,74.638,C,22.316
2022 to 23,South East,Disadvantage,Disadvantaged,4225,16114,6.299,75.077,C,26.219
2022 to 23,London,Disadvantage,Disadvantaged,10912,25519,8.489,84.577,C,42.76
2022 to 23,North West,Disadvantage,Disadvantaged,4831,19836,6.798,78.948,C,24.355
2022 to 23,East Midlands,Disadvantage,Disadvantaged,2311,8490,5.86,79.576,C,27.22
2022 to 23,South West,Disadvantage,Disadvantaged,2248,9784,6.193,78.47,C,22.976
